Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M/F,Xherdan Shaqiri (14051116),Xherdan Shaqiri,14051116,M/F/UTIL,6600,LIV vs WOL 11:30AM ET,LIV,4.76
M,Ruben Loftus-Cheek (14050914),Ruben Loftus-Cheek,14050914,M/UTIL,6500,ARS vs CHE 09:00AM ET,CHE,0
F,Alexandre Lacazette (14051042),Alexandre Lacazette,14051042,F/UTIL,6400,ARS vs CHE 09:00AM ET,ARS,10.76
M,David Silva (14050916),David Silva,14050916,M/UTIL,6400,MCI vs SHU 01:00PM ET,MCI,11.21
F,Michy Batshuayi (14051044),Michy Batshuayi,14051044,F/UTIL,6300,ARS vs CHE 09:00AM ET,CHE,2.98
M,James Milner (14050918),James Milner,14050918,M/UTIL,6200,LIV vs WOL 11:30AM ET,LIV,4.88
M/F, Pedro (14051119), Pedro,14051119,M/F/UTIL,6100,ARS vs CHE 09:00AM ET,CHE,8.98
M,Mesut Ozil (14050920),Mesut Ozil,14050920,M/UTIL,6000,ARS vs CHE 09:00AM ET,ARS,10.67
D,Andrew Robertson (14050768),Andrew Robertson,14050768,D/UTIL,6000,LIV vs WOL 11:30AM ET,LIV,11.58
F,Rhian Brewster (14051046),Rhian Brewster,14051046,F/UTIL,6000,LIV vs WOL 11:30AM ET,LIV,0
GK, Alisson (14050745), Alisson,14050745,GK,5900,LIV vs WOL 11:30AM ET,LIV,8.21
M/F,Diogo Jota (14051122),Diogo Jota,14051122,M/F/UTIL,5900,LIV vs WOL 11:30AM ET,WOL,9.17
GK,Andy Lonergan (14050748),Andy Lonergan,14050748,GK,5800,LIV vs WOL 11:30AM ET,LIV,0
GK, Adrian (14050749), Adrian,14050749,GK,5800,LIV vs WOL 11:30AM ET,LIV,6.80
GK,Caoimhin Kelleher (14050750),Caoimhin Kelleher,14050750,GK,5800,LIV vs WOL 11:30AM ET,LIV,0
GK,Ben Winterbottom (14050751),Ben Winterbottom,14050751,GK,5800,LIV vs WOL 11:30AM ET,LIV,0
M,Joao Moutinho (14050922),Joao Moutinho,14050922,M/UTIL,5800,LIV vs WOL 11:30AM ET,WOL,12.66
GK,Ederson Ederson (14050746),Ederson Ederson,14050746,GK,5800,MCI vs SHU 01:00PM ET,MCI,7.47
GK,Claudio Bravo (14050747),Claudio Bravo,14050747,GK,5800,MCI vs SHU 01:00PM ET,MCI,1.41
F,Folarin Balogun (14051048),Folarin Balogun,14051048,F/UTIL,5700,ARS vs CHE 09:00AM ET,ARS,0
GK,Scott Carson (14050752),Scott Carson,14050752,GK,5700,MCI vs SHU 01:00PM ET,MCI,0
GK,Daniel Grimshaw (14050753),Daniel Grimshaw,14050753,GK,5700,MCI vs SHU 01:00PM ET,MCI,0
M,Emile Smith Rowe (14050924),Emile Smith Rowe,14050924,M/UTIL,5600,ARS vs CHE 09:00AM ET,ARS,1.9
M,Ross Barkley (14050926),Ross Barkley,14050926,M/UTIL,5500,ARS vs CHE 09:00AM ET,CHE,6.83
F,Olivier Giroud (14051050),Olivier Giroud,14051050,F/UTIL,5500,ARS vs CHE 09:00AM ET,CHE,2.24
D,Marcos Alonso (14050770),Marcos Alonso,14050770,D/UTIL,5400,ARS vs CHE 09:00AM ET,CHE,11.18
M,Ilkay Gundogan (14050928),Ilkay Gundogan,14050928,M/UTIL,5400,MCI vs SHU 01:00PM ET,MCI,6.35
D,Sead Kolasinac (14050772),Sead Kolasinac,14050772,D/UTIL,5200,ARS vs CHE 09:00AM ET,ARS,4.91
M/F,Reiss Nelson (14051125),Reiss Nelson,14051125,M/F/UTIL,5200,ARS vs CHE 09:00AM ET,ARS,4.47
M,Jordan Henderson (14050930),Jordan Henderson,14050930,M/UTIL,5200,LIV vs WOL 11:30AM ET,LIV,6.91
M,Dani Ceballos (14050932),Dani Ceballos,14050932,M/UTIL,5100,ARS vs CHE 09:00AM ET,ARS,8.42
F,Layton Stewart (14051052),Layton Stewart,14051052,F/UTIL,5100,LIV vs WOL 11:30AM ET,LIV,0
D, Angelino (14050774), Angelino,14050774,D/UTIL,5100,MCI vs SHU 01:00PM ET,MCI,9.3
GK,Kepa Arrizabalaga (14050754),Kepa Arrizabalaga,14050754,GK,5000,ARS vs CHE 09:00AM ET,CHE,5.10
M,Naby Keita (14050934),Naby Keita,14050934,M/UTIL,5000,LIV vs WOL 11:30AM ET,LIV,9.08
F,Lys Mousset (14051054),Lys Mousset,14051054,F/UTIL,5000,MCI vs SHU 01:00PM ET,SHU,6.83
GK,Willy Caballero (14050755),Willy Caballero,14050755,GK,4900,ARS vs CHE 09:00AM ET,CHE,0
GK,Jamie Cumming (14050756),Jamie Cumming,14050756,GK,4900,ARS vs CHE 09:00AM ET,CHE,0
D, Emerson (14050776), Emerson,14050776,D/UTIL,4900,ARS vs CHE 09:00AM ET,CHE,9.50
F,Tyreece John-Jules (14051056),Tyreece John-Jules,14051056,F/UTIL,4900,ARS vs CHE 09:00AM ET,ARS,0
M,John Fleck (14050936),John Fleck,14050936,M/UTIL,4900,MCI vs SHU 01:00PM ET,SHU,11.33
M/F,Bukayo Saka (14051128),Bukayo Saka,14051128,M/F/UTIL,4800,ARS vs CHE 09:00AM ET,ARS,4.89
M,Adam Lallana (14050938),Adam Lallana,14050938,M/UTIL,4800,LIV vs WOL 11:30AM ET,LIV,3.90
F,Patrick Cutrone (14051058),Patrick Cutrone,14051058,F/UTIL,4800,LIV vs WOL 11:30AM ET,WOL,4.29
D,Joao Cancelo (14050778),Joao Cancelo,14050778,D/UTIL,4800,MCI vs SHU 01:00PM ET,MCI,7.90
D,Reece James (14050780),Reece James,14050780,D/UTIL,4700,ARS vs CHE 09:00AM ET,CHE,5.99
M,Mateo Kovacic (14050940),Mateo Kovacic,14050940,M/UTIL,4700,ARS vs CHE 09:00AM ET,CHE,7.54
F,Oliver McBurnie (14051060),Oliver McBurnie,14051060,F/UTIL,4700,MCI vs SHU 01:00PM ET,SHU,4.13
GK,Bernd Leno (14050757),Bernd Leno,14050757,GK,4600,ARS vs CHE 09:00AM ET,ARS,7.70
M,Lucas Torreira (14050942),Lucas Torreira,14050942,M/UTIL,4600,ARS vs CHE 09:00AM ET,ARS,6.05
F,Thomas Hill (14051062),Thomas Hill,14051062,F/UTIL,4600,LIV vs WOL 11:30AM ET,LIV,0
D,Benjamin Mendy (14050782),Benjamin Mendy,14050782,D/UTIL,4600,MCI vs SHU 01:00PM ET,MCI,7.23
GK,Emiliano Martinez (14050758),Emiliano Martinez,14050758,GK,4500,ARS vs CHE 09:00AM ET,ARS,0
GK,Matt Macey (14050759),Matt Macey,14050759,GK,4500,ARS vs CHE 09:00AM ET,ARS,0
D,Cesar Azpilicueta (14050784),Cesar Azpilicueta,14050784,D/UTIL,4500,ARS vs CHE 09:00AM ET,CHE,8.23
M,N'Golo Kante (14050944),N'Golo Kante,14050944,M/UTIL,4500,ARS vs CHE 09:00AM ET,CHE,7.92
F,David McGoldrick (14051064),David McGoldrick,14051064,F/UTIL,4500,MCI vs SHU 01:00PM ET,SHU,6.76
M/F,Callum Robinson (14051131),Callum Robinson,14051131,M/F/UTIL,4500,MCI vs SHU 01:00PM ET,SHU,3.57
D,Kieran Tierney (14050786),Kieran Tierney,14050786,D/UTIL,4400,ARS vs CHE 09:00AM ET,ARS,5.36
F,Pedro Neto (14051066),Pedro Neto,14051066,F/UTIL,4400,LIV vs WOL 11:30AM ET,WOL,2.55
